Epoch,Train Loss,Validation Loss
1,0.009439267578867835,0.18579545659678304
2,0.007903346627650123,0.20322424524665555
3,0.007834049063452976,0.21018853090879894
4,0.007799624220279922,0.2126405773261655
5,0.007764646940485328,0.21535589529409782
6,0.007706296281133083,0.21809024821988807
7,0.00770164518234572,0.22263429815343136
8,0.007655032779715757,0.22646352530700625
9,0.007620672038924011,0.23165392421413625
10,0.007593151479323965,0.22793603467296358
11,0.007562571468036251,0.23518109121752687
12,0.007522850070075062,0.2373124358330149
13,0.007496293363178115,0.2389159076837527
14,0.007461654237822619,0.23701521485129876
15,0.007428907841790491,0.24260222041359658
16,0.007388040960158609,0.23820778630499892
17,0.007371071442082339,0.2365423393731316
18,0.007334349824226063,0.2447548864389889
19,0.007303549823299873,0.23913955292879094
20,0.007279840398498809,0.23811733718479464
21,0.007240238651536037,0.23395912402788108
22,0.0072052790087201585,0.23353827471027835
23,0.007180548468608941,0.23483628516554053
24,0.007156812885769345,0.23245261388461222
25,0.007109817212240498,0.23523651255290806
26,0.007081283694188055,0.23288923030228317
27,0.007046119456236204,0.23200240812749762
28,0.007031700849434525,0.22971709411389554
