Epoch,Train Loss,Validation Loss
1,0.010557815936452433,0.2061234532417632
2,0.007966836623915643,0.21346176430804015
3,0.007768615819887704,0.21743269777056765
4,0.0075978616012874825,0.22202417909763342
5,0.007467973984118733,0.22881369191670645
6,0.007223574262203489,0.2191563184785499
7,0.007006520801355363,0.21990701214050828
8,0.00671426354135648,0.21421639250971317
9,0.006353437395424401,0.21508938208389963
10,0.005977685119811028,0.21453290997513483
11,0.0055894093984641255,0.213275625718377
12,0.0052306378118153335,0.2115703726181398
13,0.0049516247415579496,0.21194729439619991
14,0.004604974521659977,0.21010068245829017
15,0.004277934655186117,0.2107791518022126
