Epoch,Train Loss,Validation Loss
1,0.155191000725804,0.2103506550495429
2,0.1463964081779096,0.22297076503325258
3,0.1445804870224778,0.2227734746637725
4,0.1426075879714408,0.22567235563064905
5,0.14058780455380562,0.22694400210605695
6,0.1382926031936341,0.23088945011510045
7,0.13647196255267072,0.2329778439756887
8,0.13417704730769714,0.23801382233826363
9,0.13192137384206268,0.23618328585571413
10,0.12934542157985393,0.23759741222654956
11,0.1267732678538177,0.23755588830304886
12,0.1242645197778623,0.235410226877836
13,0.12155222158744201,0.23453784682182915
14,0.11847087525600827,0.23100131609811358
15,0.1157863000749566,0.2343842138906225
16,0.11229832704331444,0.2322835631651163
17,0.10913895701106661,0.22854474882752995
18,0.10580638711264408,0.22906258902782242
