Epoch,Train Loss,Validation Loss
1,0.01056169365531162,0.20405876213695678
2,0.008512304075766485,0.21080302403561274
3,0.008367568594668728,0.21905384307538653
4,0.008261787644792037,0.22090596210385918
5,0.00817850168312493,0.2164578974889171
6,0.008072616647569109,0.22175651489710496
7,0.008043712876111435,0.22555396249438234
8,0.007946101795873918,0.22825759191600248
9,0.007874371323274914,0.22667735336967593
10,0.00780808856989262,0.22190187791340538
11,0.007772287451548918,0.224972620183503
12,0.007694788677374672,0.22141861628700127
13,0.0076193475417405425,0.22625195703717435
14,0.007580145969701278,0.23250833037438529
15,0.007532850408694225,0.2315702075320089
16,0.007444434729942769,0.22958868318166717
17,0.0073934013145727775,0.22957258099625427
18,0.007370766384093356,0.22806954342442748
19,0.007207846790446626,0.23260690292796227
20,0.007168832159829699,0.23254553063464337
21,0.007111375055132853,0.23087622612337377
22,0.00703536941909465,0.2301460517370932
23,0.00694088508530727,0.229678952231187
24,0.006909601752285613,0.227945756000202
