Epoch,Train Loss,Validation Loss
1,1.2081259388996957,0.2224711411917446
2,1.1152821315838917,0.22895081139753742
3,1.0631899523045112,0.23100838848821653
4,1.0010858646761778,0.22932608128244245
5,0.9340232601994451,0.23010894192750297
6,0.8753840796834603,0.22773939256524656
7,0.8106504032008363,0.2253772132623531
8,0.7602422618691557,0.2260290048303683
9,0.7035248993166536,0.22176332032908147
10,0.6500964137279597,0.21993827966446045
11,0.6020566291139212,0.21921784764204036
12,0.568968878536678,0.21118849503364906
13,0.5310497037833898,0.2152976543446355
