Epoch,Train Loss,Validation Loss
1,0.3265780070668176,0.2102770337045886
2,0.31263992393626344,0.22143279284839223
3,0.30922949039459685,0.22208714311943467
4,0.30585956108650875,0.22655826113759905
5,0.3028335910232931,0.22989782580867432
6,0.2994296300710003,0.22782958747364945
7,0.2965583081788817,0.23040269386564177
8,0.29333441879745153,0.2345078688725886
9,0.2902765961054189,0.23451655899625704
10,0.28702095276545,0.2351337716582244
11,0.2832545359650486,0.238928947550547
12,0.2804292453634036,0.23679857994428227
13,0.2760409371340088,0.23836989140375084
14,0.27233908123711453,0.23741832359553275
15,0.2684171441157217,0.2373964361815158
16,0.2641741499355239,0.23735650313138348
17,0.25934442924434314,0.23416809170761763
18,0.2546731995786663,0.2301200641399152
19,0.2507531592349248,0.2330488948208664
20,0.24554333567858133,0.22965823582910708
21,0.2403791991078381,0.22891326880433932
