Epoch,Train Loss,Validation Loss
1,0.22560188764992833,0.19600128948166728
2,0.2182377146358162,0.20433967067470932
3,0.21607449541473772,0.2055357933910287
4,0.21490994808298833,0.210024472916676
5,0.21401080937395145,0.21058175591980108
6,0.21320514966067902,0.2150892705169312
7,0.21246287816610243,0.2159516212165459
8,0.2116463669455564,0.21715078771772503
9,0.2107707157939944,0.22026230339546943
10,0.2101779088053955,0.22304482502932682
11,0.20952330980194608,0.22221729821381178
12,0.20862715846746965,0.2228432694693321
13,0.20767156558818053,0.22220515563558083
14,0.2071263283751149,0.22184435653316303
15,0.20612878494244613,0.2225285934293081
16,0.20573360320013154,0.2237931024465918
17,0.20462892457018628,0.2227575849889435
18,0.20401091816095074,0.22424595813478054
19,0.20324764525573333,0.2224208983213429
20,0.20257742578333574,0.22407644159840762
21,0.20156781398270174,0.22223729505678774
22,0.2009207383634184,0.22164303864107865
23,0.20051529810454857,0.22131119715947792
24,0.19940521307254142,0.22349775152491272
25,0.19850872213121284,0.22265321314217215
26,0.19765357059573282,0.22234850488899596
27,0.19735693025998913,0.22268569626548437
28,0.19612149426202866,0.2227751825460744
