Epoch,Train Loss,Validation Loss
1,0.3266300592801565,0.2085145331759953
2,0.31293999051375543,0.21828213641652944
3,0.3088910786122417,0.2225768851426536
4,0.30508480117659276,0.22662948625290869
5,0.3015071317353268,0.2291000526494874
6,0.2978647343378712,0.2299432753277421
7,0.2944842525210002,0.2313212086633549
8,0.2909370829002798,0.23436581881168989
9,0.28725659339481757,0.23826192292675646
10,0.28338281560291223,0.24512348546778953
11,0.2793236105440772,0.24577866823771147
12,0.2754448823772577,0.24008651737564968
13,0.2712178598285583,0.2391919764020513
14,0.266553363542574,0.2404953796534919
15,0.26250578145042425,0.23826665712930978
16,0.25839757310695427,0.23260567441405502
17,0.2535910744450582,0.23681131054718416
18,0.24881904975048263,0.2341688402762032
19,0.24353269935458977,0.2302685625119111
20,0.23810631125513876,0.22958520218240988
21,0.23304200084388874,0.22705615391870063
