Epoch,Train Loss,Validation Loss
1,0.22358995399281065,0.20922195689529144
2,0.2153039081110375,0.21584240355430878
3,0.21326504951088485,0.22168520580607462
4,0.2116365800990443,0.2228843368390282
5,0.21014286911696006,0.22574790429411468
6,0.20887930563925938,0.22831399596865273
7,0.20764748396859944,0.23049626638182358
8,0.2063319727695737,0.23225440358198352
9,0.20475219859599264,0.23594843796247902
10,0.20355448165938322,0.2403022860974791
11,0.20213677973800737,0.24134993392454962
12,0.20046187945865823,0.24295087843172752
13,0.1988357193801735,0.2398606586998451
14,0.19702596726312294,0.2385181967099153
15,0.19554066260292452,0.2412927898350824
16,0.19416204360705241,0.24202875712424937
17,0.19263992175701436,0.2419523333469941
18,0.1905285160834964,0.2381228534763012
19,0.18945909348417425,0.23379867015058858
20,0.18704766460996614,0.23312152910414038
21,0.18521032386995426,0.23236921903806174
22,0.18345701900674452,0.2335831149659744
