Epoch,Train Loss,Validation Loss
1,0.00939288491816446,0.19851952098124157
2,0.00782324827898322,0.21204532028008422
3,0.007745907811057221,0.22224847416650512
4,0.007653220698088299,0.223601848636889
5,0.0075935146884407835,0.2269624167261187
6,0.007490479860770602,0.23007325039337093
7,0.007413410550169862,0.23809224201512055
8,0.007317164728292299,0.23883094136212965
9,0.00721903485255691,0.23823262884574284
10,0.007133770241936699,0.24222160651670321
11,0.0070479539323401105,0.24773251993775508
12,0.006939283671696366,0.24741797662816398
13,0.006830702320547578,0.24226176601259747
14,0.0067307892896323876,0.2445483167454076
15,0.006605328981719754,0.2426024246793994
16,0.006490465247269809,0.23860466238866623
17,0.006372784019264192,0.23399862233845978
18,0.006252310670720387,0.2390049852746487
19,0.006139106976071349,0.23319527497184225
20,0.005961452794992152,0.23435445316011091
21,0.005820487239049731,0.23197726027216767
