Epoch,Train Loss,Validation Loss
1,0.00924928077253076,0.18920913520689026
2,0.007911313296612812,0.20286711981280758
3,0.007858748224809843,0.20804562417498823
4,0.007815794126691691,0.20957517748292498
5,0.007797363724746046,0.21086432388784773
6,0.007771470610136693,0.212452500167531
7,0.007759622812754368,0.21421957379610032
8,0.007738284391483304,0.21717477995149562
9,0.007724208308382653,0.21671303414521
10,0.007698015710442061,0.21751901901529413
11,0.007694092072865208,0.2220168961683093
12,0.0076797407338111455,0.22086747543532637
13,0.007656350409703341,0.22050683314432856
14,0.007664233111766097,0.22297421821767865
15,0.007624902207197994,0.22369018747034744
16,0.007603057373493222,0.22564207019564392
17,0.007599048880451191,0.2269775538712039
18,0.00759291285083335,0.23130858154138587
19,0.007565883412165181,0.22860578613258503
20,0.007524573824897795,0.23106333602923834
21,0.0074988618951062555,0.2340736401234974
22,0.00750946804698575,0.2333070229471392
23,0.007465810256047938,0.2337771124441447
24,0.007446209269487332,0.2345877555797798
25,0.007425699295789497,0.23682495960352876
26,0.007384670842930384,0.2418977737036353
27,0.007375139252872193,0.23369350670009315
28,0.0073471864194021375,0.2350578182127951
29,0.007322901407907826,0.23674273744032062
30,0.007299598189838829,0.23555572894303378
31,0.007266839272485082,0.23515552529566125
32,0.007247748349403735,0.22975466852976817
33,0.00721163615510431,0.22904967317115954
34,0.0071815803677444615,0.22601784620771337
35,0.00714314702510058,0.23077270475141157
36,0.007136766015914106,0.23119407402842954
