Epoch,Train Loss,Validation Loss
1,0.32685825625376985,0.31673505756695963
2,0.3126100215888583,0.3151554806871483
3,0.3086840361698239,0.31268960509012234
4,0.30497134761504724,0.3132872783230761
5,0.30209238911587855,0.31232041578168546
6,0.2988101123039945,0.31185397463420833
7,0.2951789832383106,0.31163545576640633
8,0.29268203398885834,0.31342782067263925
9,0.2892213109073776,0.3136707187019862
10,0.2860385174408481,0.31176677874457814
11,0.28248743628374995,0.3123623950247867
12,0.2787826349113702,0.3141982325444428
13,0.2751209888023436,0.31553461579792197
14,0.27108182276968457,0.3163446642717777
15,0.2665118926567358,0.3181983500120159
16,0.26273248309548175,0.3201261538022842
17,0.25806128183804855,0.32248527342295996
