Epoch,Train Loss,Validation Loss
1,1.1972597661895032,0.2234581995065186
2,1.1036227153639289,0.22806112397214642
3,1.0451236779952697,0.23607398248489309
4,0.9990044223689911,0.2304717084896975
5,0.9187221130592372,0.23491231026714562
6,0.8664794891105653,0.23419816472995023
7,0.7983310671657735,0.22911599584769177
8,0.739422028884762,0.22903064959487823
9,0.6889387290912488,0.22610607151874962
10,0.6442055205810004,0.22074969214029716
11,0.6006381571231193,0.22687898566736198
12,0.5570008618846839,0.21922273895986116
13,0.5196823713683609,0.22166284682493367
