Epoch,Train Loss,Validation Loss
1,0.22466192551326966,0.20940275485040039
2,0.21511151317278904,0.21746311702746748
3,0.21204002769676697,0.22142040408247998
4,0.21053343365670807,0.22335332396817734
5,0.20857216360826003,0.22761910933754953
6,0.20673163252772928,0.22911306831001133
7,0.2047190034069362,0.23002701531826014
8,0.20246208578283637,0.22957870288837662
9,0.20051041120446267,0.230611228889032
10,0.19828910124384766,0.23175877878712983
11,0.19615489023395655,0.23159138226055645
12,0.19357001422753026,0.2297827444018251
13,0.19140126127013588,0.22885925916630684
14,0.18888157517856727,0.2310611631605432
15,0.18631106452524565,0.22915988213043115
16,0.18385391488298566,0.23083765272541462
17,0.18177349782693134,0.23054248178034134
18,0.17942085318941692,0.22594419932994392
19,0.17689379651564913,0.22895614477579226
20,0.17424296437431228,0.22531930334833267
