Epoch,Train Loss,Validation Loss
1,0.009417310333886637,0.19988284892384228
2,0.007829811611279741,0.21224161825338733
3,0.007727233492597513,0.2156095926227205
4,0.00762413112315652,0.2232808901070957
5,0.0075369267441130336,0.2227702371854893
6,0.0074036805456177595,0.22580298654163802
7,0.007297193044559791,0.22434351945694841
8,0.007181347631954239,0.2223427939854565
9,0.007065965327762753,0.22514323810969059
10,0.0069560924977921075,0.22428718722576962
11,0.006822501225667313,0.2254031403026933
12,0.006691422688423624,0.22306433388938698
13,0.0065524140604243395,0.22201132536841287
14,0.006420102634896285,0.2217031598212891
15,0.006276125348042783,0.2197224969002119
16,0.006144083199209137,0.21780709688685013
