Epoch,Train Loss,Validation Loss
1,1.1671801568650308,0.2136881527649213
2,1.1314649471548206,0.21490392449755424
3,1.1208779698725868,0.2169642105364005
4,1.1125612822874416,0.21948053569463036
5,1.103277387743955,0.2216860849931251
6,1.0951554556208005,0.22617621701046178
7,1.0862314965279707,0.23104220101522735
8,1.079944218712593,0.23123327309207162
9,1.0718294567122209,0.23099830932442048
10,1.0632966279471219,0.23275163517384215
11,1.055483027434165,0.23453979050491514
12,1.0497159800999276,0.23482537876128054
13,1.0399269200390655,0.23468333377775544
14,1.0348446791804056,0.23691269199262066
15,1.0260516444026988,0.23168708382777717
16,1.0180845878809457,0.23539471707928772
17,1.0067391049535772,0.2346149078703139
18,1.0021523060835587,0.23279121714076273
19,0.9907047370377262,0.2332721204277439
20,0.9868416404437299,0.2339512284296981
21,0.9798243147006267,0.23414429007751542
22,0.9714924896631083,0.2337900727763641
23,0.9637444924466618,0.23315867538107485
24,0.9556185464264512,0.2334613758168666
