Epoch,Train Loss,Validation Loss
1,0.15554690967539395,0.20989170655974768
2,0.14653122775789118,0.2190397431887619
3,0.14414101444947836,0.2229699449701173
4,0.14249475479807344,0.22453621413051217
5,0.14041598657419907,0.22624926885895388
6,0.13824544982942807,0.22645712837745252
7,0.13617479743395608,0.22781990877715955
8,0.1340519062890615,0.22837436528459765
9,0.13167130191455872,0.23363540276415065
10,0.1292603095571622,0.23187229944733573
11,0.1266718719571716,0.23215100749473166
12,0.12454898443209071,0.23259482093812608
13,0.12148889290124888,0.23177874695535566
14,0.1189522937968814,0.23300390795828177
15,0.11611844990976,0.23053899637451772
16,0.11277321876808707,0.230757187378495
17,0.10981337125589286,0.22873641644867052
18,0.10660450647474785,0.22991832928893854
19,0.10306410685158891,0.2272173578735009
