Epoch,Train Loss,Validation Loss
1,0.23427000376073687,0.21705137261607899
2,0.22201918372430013,0.22353007432095826
3,0.2179408005262043,0.2241519263832671
4,0.21505516862906607,0.22642142871847737
5,0.2117018809179308,0.2266969863043734
6,0.20930898851541066,0.2287544755744345
7,0.20788304270596633,0.23259430013647128
8,0.20542487973930398,0.23449766657551618
9,0.20252757176793781,0.23785210809374308
10,0.20019793834771543,0.24162497355204776
11,0.19798215279722248,0.23489919227442416
12,0.19598964762600113,0.2375549501372121
13,0.19260386828648307,0.23571225121831108
14,0.190965036904338,0.23447619594433633
15,0.18716918061631915,0.23625496882111363
16,0.18459886219175614,0.23386571153110994
17,0.1815619362458168,0.23576738844697712
18,0.18022846700062387,0.23295344706958263
19,0.17785735602354732,0.22982596044397752
20,0.17519676532566816,0.23463873369767946
