Epoch,Train Loss,Validation Loss
1,0.009493060190484794,0.19421162396828645
2,0.007973345694065973,0.2020292839072328
3,0.007862706634101924,0.20831382163955683
4,0.007830686335674655,0.20975318647549498
5,0.007784364110756378,0.2110453498475192
6,0.0077568847537535825,0.21155541962434316
7,0.007722611764736368,0.21511627120000465
8,0.007703605162377743,0.2156911954288752
9,0.007680763581163963,0.21820907621443764
10,0.007633677047182406,0.21965559654095934
11,0.007595843768151413,0.22014860984721935
12,0.0075785788015710455,0.22012520924639378
13,0.007524692635554489,0.2220311915030279
14,0.007504557599658384,0.21987755029910264
15,0.0074735095189476745,0.22191031592325555
16,0.0074379729643740695,0.22188477450584823
17,0.007405437104989588,0.2209059147412036
18,0.007372785422414906,0.22337358797086226
19,0.007335772989556023,0.22034622630423664
20,0.007309741733144745,0.22138877354423558
21,0.007272117452800355,0.22011749925415397
22,0.007253617182328415,0.22035838795116847
23,0.007218165212482116,0.22003457568953733
24,0.007127294668014711,0.21780684697776198
25,0.0071006259481741826,0.22391938556572655
26,0.007079849707422203,0.22381857599873303
27,0.0070351951741190405,0.2210586443260808
28,0.006989447855951771,0.22026806800610246
29,0.00694073770571625,0.21995993801999386
30,0.006903577580119157,0.21984281279706033
31,0.006874224229447509,0.22063074218966763
32,0.0068331293714450295,0.22194270714656114
33,0.006766048177129913,0.21980998178198316
34,0.006765962093677513,0.2187722443206854
35,0.006704228024114642,0.22043490293708556
